Project,TC,Approach,Policy,FromNode,ToNode
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.LogFactory:createFactory,java.lang.Class:newInstance
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.LogFactory:createFactory,org.apache.commons.logging.LogFactory:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.LogFactory:createFactory,java.lang.Class:forName
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,java.util.Hashtable:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,org.apache.commons.logging.impl.LogFactoryImpl:class$
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,org.apache.commons.logging.LogFactory:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.LogFactory:<init>,java.lang.Object:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:class$,java.lang.Class:forName
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics,java.lang.StringBuffer:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics,java.lang.StringBuffer:append
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics,java.lang.StringBuffer:toString
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics,org.apache.commons.logging.impl.LogFactoryImpl:getClassLoader
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getClassLoader,org.apache.commons.logging.LogFactory:getClassLoader
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled,org.apache.commons.logging.LogFactory:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.LogFactory:cacheFactory,org.apache.commons.logging.impl.WeakHashtable:put
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable:put,org.apache.commons.logging.impl.WeakHashtable$Referenced:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable:put,java.util.Hashtable:put
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$WeakKey:<init>,java.lang.ref.WeakReference:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$WeakKey:<init>,org.apache.commons.logging.impl.WeakHashtable$WeakKey:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,java.util.Hashtable:put
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,java.lang.Class:getName
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,org.apache.commons.logging.impl.LogFactoryImpl:getInstance
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,java.util.Hashtable:get
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,org.apache.commons.logging.impl.LogFactoryImpl:newInstance
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:newInstance,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:newInstance,java.lang.reflect.Constructor:newInstance
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation,org.apache.commons.logging.impl.LogFactoryImpl:initConfiguration
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation,org.apache.commons.logging.impl.LogFactoryImpl:findUserSpecifiedLogClassName
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initConfiguration,org.apache.commons.logging.impl.LogFactoryImpl:getBooleanConfiguration
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBooleanConfiguration,org.apache.commons.logging.impl.LogFactoryImpl:getConfigurationValue
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getConfigurationValue,org.apache.commons.logging.impl.LogFactoryImpl:getAttribute
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getConfigurationValue,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getConfigurationValue,org.apache.commons.logging.impl.LogFactoryImpl:getSystemProperty
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getAttribute,java.util.Hashtable:get
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getSystemProperty,org.apache.commons.logging.impl.LogFactoryImpl$2:run
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getSystemProperty,org.apache.commons.logging.impl.LogFactoryImpl$2:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl$2:<init>,java.lang.Object:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl$2:run,java.lang.System:getProperty
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:findUserSpecifiedLogClassName,org.apache.commons.logging.impl.LogFactoryImpl:getAttribute
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:findUserSpecifiedLogClassName,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:findUserSpecifiedLogClassName,org.apache.commons.logging.impl.LogFactoryImpl:getSystemProperty
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Class:getClassLoader
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.LogFactory:objectId
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.impl.LogFactoryImpl:logDiagnostic
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Class:forName
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Class:getConstructor
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.StringBuffer:toString
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.reflect.Constructor:newInstance
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Throwable:getMessage
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.String:trim
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.StringBuffer:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.LogFactory:handleThrowable
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.StringBuffer:append
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Class:getMethod
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader,org.apache.commons.logging.impl.LogFactoryImpl:getLowestClassLoader
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader,org.apache.commons.logging.impl.LogFactoryImpl:class$
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader,org.apache.commons.logging.impl.LogFactoryImpl:getContextClassLoaderInternal
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader,org.apache.commons.logging.impl.LogFactoryImpl:getClassLoader
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getContextClassLoaderInternal,org.apache.commons.logging.impl.LogFactoryImpl$1:run
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getContextClassLoaderInternal,org.apache.commons.logging.impl.LogFactoryImpl$1:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl$1:<init>,java.lang.Object:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl$1:run,org.apache.commons.logging.impl.LogFactoryImpl:access$000
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:access$000,org.apache.commons.logging.LogFactory:directGetContextClassLoader
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:logDiagnostic,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.Log4JLogger:class$,java.lang.NoClassDefFoundError:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.Log4JLogger:class$,java.lang.Throwable:getMessage
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.Log4JLogger:class$,java.lang.Class:forName
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.Jdk14Logger:<init>,java.lang.Object:<init>
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.Jdk14Logger:<init>,org.apache.commons.logging.impl.Jdk14Logger:getLogger
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.Jdk14Logger:getLogger,java.util.logging.Logger:getLogger
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$Referenced:equals,org.apache.commons.logging.impl.WeakHashtable$Referenced:getValue
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$Referenced:equals,java.lang.Object:equals
openjms,TC_UnicastDelegate_Set,SENECA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$Referenced:getValue,java.lang.ref.Reference:get
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:getSystemProperty,org.apache.commons.logging.LogFactory$6:run
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory$6:run,java.lang.System:getProperty
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable:<init>,java.util.Hashtable:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable:<init>,java.lang.ref.ReferenceQueue:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:getLog,org.apache.commons.logging.impl.LogFactoryImpl:getInstance
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:getContextClassLoaderInternal,org.apache.commons.logging.LogFactory$1:run
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory$1:run,org.apache.commons.logging.LogFactory:directGetContextClassLoader
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:directGetContextClassLoader,java.lang.Thread:getContextClassLoader
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:getCachedFactory,org.apache.commons.logging.impl.WeakHashtable:get
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable:get,org.apache.commons.logging.impl.WeakHashtable$Referenced:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable:get,java.util.Hashtable:get
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$Referenced:<init>,java.lang.Object:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$Referenced:<init>,java.lang.ref.WeakReference:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$Referenced:<init>,org.apache.commons.logging.impl.WeakHashtable$Referenced:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$Referenced:<init>,org.apache.commons.logging.impl.WeakHashtable$WeakKey:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:getResources,org.apache.commons.logging.LogFactory$4:run
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory$4:run,java.lang.ClassLoader:getResources
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:getResourceAsStream,org.apache.commons.logging.LogFactory$3:run
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory$3:run,java.net.URLClassLoader:getResourceAsStream
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:newFactory,org.apache.commons.logging.LogFactory$2:run
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory$2:run,org.apache.commons.logging.LogFactory:createFactory
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:createFactory,java.lang.Class:newInstance
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:createFactory,org.apache.commons.logging.LogFactory:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:createFactory,java.lang.Class:forName
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,java.util.Hashtable:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,org.apache.commons.logging.impl.LogFactoryImpl:class$
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,org.apache.commons.logging.LogFactory:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:<init>,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:<init>,java.lang.Object:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:class$,java.lang.Class:forName
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics,java.lang.StringBuffer:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics,java.lang.StringBuffer:append
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics,java.lang.StringBuffer:toString
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initDiagnostics,org.apache.commons.logging.impl.LogFactoryImpl:getClassLoader
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getClassLoader,org.apache.commons.logging.LogFactory:getClassLoader
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled,org.apache.commons.logging.LogFactory:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.LogFactory:cacheFactory,org.apache.commons.logging.impl.WeakHashtable:put
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable:put,org.apache.commons.logging.impl.WeakHashtable$Referenced:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable:put,java.util.Hashtable:put
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$WeakKey:<init>,java.lang.ref.WeakReference:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.WeakHashtable$WeakKey:<init>,org.apache.commons.logging.impl.WeakHashtable$WeakKey:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,java.util.Hashtable:put
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,java.lang.Class:getName
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,org.apache.commons.logging.impl.LogFactoryImpl:getInstance
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,java.util.Hashtable:get
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getInstance,org.apache.commons.logging.impl.LogFactoryImpl:newInstance
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:newInstance,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:newInstance,java.lang.reflect.Constructor:newInstance
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation,org.apache.commons.logging.impl.LogFactoryImpl:initConfiguration
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation,org.apache.commons.logging.impl.LogFactoryImpl:findUserSpecifiedLogClassName
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:discoverLogImplementation,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:initConfiguration,org.apache.commons.logging.impl.LogFactoryImpl:getBooleanConfiguration
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBooleanConfiguration,org.apache.commons.logging.impl.LogFactoryImpl:getConfigurationValue
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getConfigurationValue,org.apache.commons.logging.impl.LogFactoryImpl:getAttribute
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getConfigurationValue,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getConfigurationValue,org.apache.commons.logging.impl.LogFactoryImpl:getSystemProperty
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getAttribute,java.util.Hashtable:get
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getSystemProperty,org.apache.commons.logging.impl.LogFactoryImpl$2:run
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getSystemProperty,org.apache.commons.logging.impl.LogFactoryImpl$2:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl$2:<init>,java.lang.Object:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl$2:run,java.lang.System:getProperty
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:findUserSpecifiedLogClassName,org.apache.commons.logging.impl.LogFactoryImpl:getAttribute
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:findUserSpecifiedLogClassName,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:findUserSpecifiedLogClassName,org.apache.commons.logging.impl.LogFactoryImpl:getSystemProperty
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Class:getClassLoader
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.LogFactory:objectId
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.impl.LogFactoryImpl:logDiagnostic
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Class:forName
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Class:getConstructor
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.StringBuffer:toString
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.impl.LogFactoryImpl:isDiagnosticsEnabled
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.reflect.Constructor:newInstance
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Throwable:getMessage
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.String:trim
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.StringBuffer:<init>
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,org.apache.commons.logging.LogFactory:handleThrowable
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.StringBuffer:append
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:createLogFromClass,java.lang.Class:getMethod
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader,org.apache.commons.logging.impl.LogFactoryImpl:getLowestClassLoader
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader,org.apache.commons.logging.impl.LogFactoryImpl:class$
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader,org.apache.commons.logging.impl.LogFactoryImpl:getContextClassLoaderInternal
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getBaseClassLoader,org.apache.commons.logging.impl.LogFactoryImpl:getClassLoader
openjms,TC_UnicastDelegate_List,WALA,0-1-CFA,org.apache.commons.logging.impl.LogFactoryImpl:getContextClassLoaderInternal,org.apache.commons.logging.impl.LogFactoryImpl$1:run
